SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,tenure_group,monthly_to_total_ratio,service_count,contract_risk_score,support_gap,fiber_optic,digital_payment_risk,charge_per_service,senior_no_support,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,churn_probability,actual_churn,risk_tier,monthly_revenue,annual_revenue_at_risk
0,1,1,72,1,1,1,1,1,1,1,1,114.05,8468.2,3,0.01346644311150994,7,0,1,1,0,14.25625,0,True,False,True,True,False,False,True,True,False,False,0.03634377,0,Low,114.05,49.74008121192455
1,0,0,8,1,0,0,0,1,1,1,1,100.15,908.55,1,0.1101093947556484,4,2,1,1,0,20.03,1,False,False,True,True,False,False,False,True,False,False,0.95447266,0,High,100.15,1147.085244011879
0,1,1,41,1,1,1,1,0,1,0,1,78.35,3211.2,3,0.02439138285287342,5,1,1,0,0,13.058333333333332,0,False,False,True,False,False,True,False,True,False,False,0.18392509,0,Low,78.35,172.92637170553206
0,1,0,18,1,0,0,1,1,0,0,0,78.2,1468.75,2,0.05320632760673584,3,2,1,1,0,19.55,0,True,False,False,True,False,False,False,False,True,False,0.45946497,0,Medium,78.2,431.16192526817326
0,1,0,72,1,1,1,1,0,1,1,1,82.65,5919.35,3,0.013960323291697281,6,0,1,0,0,11.807142857142859,0,False,False,True,False,False,False,True,True,False,False,0.005010793,0,Low,82.65,4.969704483076931
0,0,0,21,1,0,1,0,0,1,1,1,99.85,1992.55,2,0.050086529056206266,4,2,1,1,0,19.97,0,False,False,True,True,False,False,False,True,False,False,0.896985,0,High,99.85,1074.7674203038214
0,0,0,21,1,0,1,0,1,1,1,1,99.15,1956.4,2,0.05065392868090324,5,2,1,1,0,16.525000000000002,0,False,False,False,True,False,False,False,False,False,False,0.6177109,0,High,99.15,734.9524150013924
0,0,1,19,1,0,0,0,0,0,0,1,24.1,439.2,2,0.054747841890049984,1,2,0,0,0,12.05,0,True,False,True,False,True,False,False,True,False,False,0.22088331,0,Low,24.1,63.87945320606232
0,1,1,61,1,0,0,0,0,0,0,0,19.75,1311.6,3,0.01504647264970288,1,0,0,0,0,9.875,0,False,False,False,False,True,False,True,True,False,False,0.015428499,0,Low,19.75,3.6565543385222554
1,0,0,17,1,0,0,0,0,0,0,1,45.05,770.6,2,0.05838517366511145,1,2,1,0,1,22.525,1,True,False,False,False,False,False,False,False,True,False,0.79104817,1,High,45.05,427.64064023494717
0,1,1,70,1,1,1,0,0,1,1,1,106.05,7554.05,3,0.014036968650108205,5,2,1,1,1,17.675,0,True,False,True,True,False,False,False,False,True,False,0.23272298,0,Low,106.05,296.163267865777
1,1,0,72,1,1,1,1,1,1,1,1,114.85,8317.95,3,0.013805828860613416,7,0,1,1,0,14.35625,1,False,False,True,True,False,False,True,False,False,False,0.008796055,0,Low,114.85,12.122722821682693
0,0,0,49,0,0,0,1,0,0,0,1,30.2,1453.1,3,0.020768860463516954,1,2,1,0,0,15.1,0,True,True,False,False,False,False,False,False,False,False,0.5036892,0,Medium,30.2,182.5369767665863
